Date,Open,High,Low,Close,Volume
2019-02-27,5.03,5.06,4.8501,4.9,108969
2019-02-28,4.9,4.9,4.8,4.83,59262
2019-03-01,4.83,4.9,4.8199,4.89,30551
2019-03-04,4.9,4.9,4.8,4.85,71634
2019-03-05,4.89,4.89,4.6,4.69,84024
2019-03-06,4.73,4.73,4.46,4.55,86145
2019-03-07,4.55,4.6072,4.36,4.48,80117
2019-03-08,4.44,4.53,4.4,4.48,120727
2019-03-11,4.53,4.65,4.52,4.59,194077
2019-03-12,4.6,4.83,4.55,4.74,181018
2019-03-13,4.74,4.83,4.62,4.64,61888
2019-03-14,4.67,4.7,4.44,4.47,129460
2019-03-15,4.46,4.5299,4.32,4.38,129172
2019-03-18,4.38,4.46,4.34,4.39,122402
2019-03-19,4.39,4.44,4.37,4.4,35936
2019-03-20,4.44,4.44,4.34,4.35,99336
2019-03-21,4.33,4.38,4.2,4.25,113415
2019-03-22,4.21,4.23,4.1,4.13,59312
2019-03-25,4.11,4.1476,3.95,3.99,74023
2019-03-26,4,4.12,3.95,4.06,101269
2019-03-27,4.1,4.2,3.98,4.18,150093
2019-03-28,4.15,4.27,4.03,4.06,40804
2019-03-29,4.07,4.13,4.0554,4.0973,29561
2019-04-01,4.07,4.22,4.07,4.18,51009
2019-04-02,4.24,4.3373,4.185,4.25,135754
2019-04-03,4.28,4.32,4.2,4.23,272363
2019-04-04,4.27,4.3,4.25,4.26,140298
2019-04-05,4.37,4.37,4.25,4.31,103062
2019-04-08,4.36,4.37,4.25,4.3,117265
2019-04-09,4.3,4.32,4.21,4.29,68382
2019-04-10,4.27,4.27,4.15,4.22,68023
2019-04-11,4.21,4.29,4.11,4.23,63047
2019-04-12,4.15,4.19,4.03,4.05,91583
2019-04-15,4.05,4.069,3.95,3.95,81929
2019-04-16,3.93,4.09,3.91,4,58581
2019-04-17,4.01,4.05,3.96,4.05,49648
2019-04-18,4.02,4.1,4,4.1,41739
2019-04-22,4.07,4.17,3.95,3.98,45338
2019-04-23,4,4.08,3.95,3.99,77247
2019-04-24,3.99,4.05,3.87,3.87,137883
2019-04-25,3.85,3.95,3.8346,3.92,84306
2019-04-26,3.95,4.0103,3.875,3.91,93822
2019-04-29,3.91,3.94,3.86,3.88,75424
2019-04-30,3.91,3.96,3.64,3.73,237069
2019-05-01,3.73,3.85,3.73,3.85,46554
2019-05-02,3.85,3.86,3.68,3.68,76344
2019-05-03,3.72,3.79,3.68,3.69,66943
2019-05-06,3.69,3.79,3.68,3.72,111715
2019-05-07,3.68,3.8225,3.6391,3.73,122035
2019-05-08,3.69,3.72,3.66,3.67,149750
2019-05-09,3.6,3.62,3.51,3.54,94556
2019-05-10,3.57,3.6598,3.44,3.62,98328
2019-05-13,3.54,3.54,3.41,3.42,68873
2019-05-14,3.42,3.55,3.11,3.26,233092
2019-05-15,3.21,3.34,3.21,3.3,52178
2019-05-16,3.3,3.31,2.9753,3.11,401544
2019-05-17,3.12,3.18,3.07,3.16,231438
2019-05-20,3.15,3.1763,3.03,3.05,184342
2019-05-21,3.04,3.35,2.88,3.25,731508
2019-05-22,3.21,3.26,3.0301,3.07,163476
2019-05-23,3.07,3.1254,3,3.08,91407
2019-05-24,3.082,4,3.03,3.96,2921580
2019-05-28,4.26,4.29,3.91,4.05,1085203
2019-05-29,4.05,4.1103,3.9,3.93,199181
2019-05-30,3.92,3.96,3.81,3.9,135705
2019-05-31,3.87,3.92,3.63,3.65,110051
2019-06-03,3.67,3.735,3.45,3.46,121558
2019-06-04,3.51,3.735,3.5,3.7,96946
2019-06-05,3.74,3.79,3.63,3.68,113643
2019-06-06,3.7,3.7,3.49,3.51,29852
2019-06-07,3.63,3.71,3.59,3.7,96828
2019-06-10,3.71,3.81,3.7,3.7,123856
2019-06-11,3.61,3.73,3.61,3.7,114879
2019-06-12,3.68,3.79,3.63,3.67,35902
2019-06-13,3.68,3.75,3.52,3.52,63659
2019-06-14,3.52,3.67,3.52,3.57,47730
2019-06-17,3.55,3.55,3.3601,3.39,118269
2019-06-18,3.39,3.47,3.39,3.41,57437
2019-06-19,3.39,3.64,3.35,3.6,188453
2019-06-20,3.64,3.9,3.6054,3.87,213443
2019-06-21,3.7,3.9,3.57,3.81,61743
2019-06-24,3.79,3.85,3.63,3.69,52253
2019-06-25,3.69,3.855,3.662,3.73,48470
2019-06-26,3.76,3.82,3.66,3.7,34006
2019-06-27,3.7,3.73,3.67,3.67,14191
2019-06-28,3.69,3.89,3.66,3.88,76302
2019-07-01,3.94,4,3.66,3.75,68658
2019-07-02,3.72,3.78,3.67,3.71,58711
2019-07-03,3.69,3.89,3.6759,3.89,16185
2019-07-05,3.74,4.08,3.74,4.03,279005
2019-07-08,4.05,4.14,4.0101,4.11,153667
2019-07-09,4.078,4.16,4.03,4.08,95189
2019-07-10,4.11,4.11,4.01,4.08,129161
2019-07-11,4.06,4.14,4.04,4.07,44175
2019-07-12,4.07,4.35,4.04,4.35,128523
2019-07-15,4.14,4.38,4.1196,4.26,130793
2019-07-16,4.3,4.3993,4.219,4.25,197969
2019-07-17,4.25,4.26,4.15,4.15,96826
2019-07-18,4.14,4.24,4.12,4.18,46944
2019-07-19,4.17,4.34,4.17,4.33,38284
2019-07-22,4.4,4.41,4.18,4.29,52287
2019-07-23,4.25,4.25,4.0198,4.15,84579
2019-07-24,4.18,4.18,4,4.05,216337
2019-07-25,4.02,4.03,3.75,3.78,94579
2019-07-26,3.76,3.94,3.76,3.92,68788
2019-07-29,3.95,4.1,3.91,4.09,124334
2019-07-30,4.09,4.09,4,4.07,67162
2019-07-31,4.05,4.12,3.96,3.99,73122
2019-08-01,4,4,3.7401,3.91,47033
2019-08-02,3.88,3.95,3.71,3.92,53065
2019-08-05,3.9,3.9027,3.7184,3.88,84511
2019-08-06,3.88,4,3.74,3.76,66802
2019-08-07,3.74,3.9,3.73,3.8899,27449
2019-08-08,3.94,4.07,3.89,4.05,94595
2019-08-09,4.02,4.05,3.91,3.95,74275
2019-08-12,3.92,3.92,3.82,3.89,48296
2019-08-13,3.8838,4.0001,3.8341,3.94,136415
2019-08-14,3.92,3.98,3.75,3.78,55114
2019-08-15,3.77,3.77,3.35,3.7,255403
2019-08-16,3.61,3.7,3.51,3.65,155705
