Date,Open,High,Low,Close,Volume
2019-02-27,119,119.92,117.21,118.46,1267694
2019-02-28,118.21,119.43,117.29,118.48,1059294
2019-03-01,119.97,121.25,118.61,119.03,1378905
2019-03-04,119.19,119.7,116.51,117.68,1274548
2019-03-05,118.15,119.97,118.03,119.41,1177226
2019-03-06,118.61,119.28,117,117.09,1050042
2019-03-07,117.03,117.1,115,115.71,1775005
2019-03-08,115,116.67,114.56,116.54,1047978
2019-03-11,116.65,117.3,116.22,116.88,740876
2019-03-12,117.34,117.34,115.37,116.29,902792
2019-03-13,116.98,118.85,116.32,117.12,995157
2019-03-14,117.04,117.28,115.465,116.45,991551
2019-03-15,116.84,118.45,116.77,117.18,1142001
2019-03-18,117.63,118.73,117.38,118.3,1309112
2019-03-19,118.95,119.45,116.97,117.44,1081051
2019-03-20,117.1,117.1,115.2,116,1547962
2019-03-21,115.57,118.01,115.28,117.77,728226
2019-03-22,117.28,117.45,115.13,115.58,1415973
2019-03-25,115.17,115.6,113.86,114.5,1558986
2019-03-26,111.8,115.81,111.3401,113.11,2616138
2019-03-27,113.47,113.745,110.63,110.99,1860008
2019-03-28,111.29,112.77,110.74,112.45,1342519
2019-03-29,112.83,114.82,112.54,114.62,1558468
2019-04-01,115.79,117.17,115.31,115.61,1597698
2019-04-02,115.61,116.51,115.17,116.26,1090731
2019-04-03,116.96,117.06,115.56,116.63,981895
2019-04-04,117.01,117.01,115.63,115.87,763385
2019-04-05,115.84,117.48,115.84,117.27,911757
2019-04-08,117.28,118.95,116.9169,118.42,1843070
2019-04-09,117.54,118.31,115.01,115.32,1228970
2019-04-10,115.84,116.76,115.58,116.51,1015576
2019-04-11,116.87,119.02,116.86,118.94,1264408
2019-04-12,119.78,122.06,119.57,121.94,1757215
2019-04-15,122.38,122.52,121.54,122.46,1550746
2019-04-16,123.3,124.38,122.86,124.11,1654039
2019-04-17,124.64,124.81,123.07,123.24,1982748
2019-04-18,123.61,123.9,119.511,120.99,2415356
2019-04-22,120.06,120.78,119.75,120.41,1351178
2019-04-23,120.98,122.56,120.5,122.48,1235901
2019-04-24,122.74,122.74,120.1,121.5,1234513
2019-04-25,121.14,121.88,120.21,120.76,1142279
2019-04-26,121.36,121.65,120.54,121.16,1126262
2019-04-29,121.17,122.573,120.84,122.28,1618284
2019-04-30,121.88,121.88,119.8,120.94,2258756
2019-05-01,127.26,130.9,125.4511,129.03,3795236
2019-05-02,128.82,128.98,125.55,125.77,1803562
2019-05-03,126.79,131.04,126.73,130.89,2134061
2019-05-06,127.32,129.63,127.15,129.17,1224260
2019-05-07,128.04,128.33,125.68,127.28,1308965
2019-05-08,126.8,128.52,126.33,127.32,1065691
2019-05-09,126.15,127.84,125.01,127.33,1058201
2019-05-10,126.29,127.5,123.47,126.07,1508575
2019-05-13,123.6,123.6,119.77,121.89,1761148
2019-05-14,122.2,125.04,122.08,123.58,1504103
2019-05-15,122.37,124.46,121.55,123.77,835173
2019-05-16,124.5,126.24,123.72,125.72,722571
2019-05-17,124.34,126.13,124.16,124.88,752934
2019-05-20,123.7,123.98,122.41,123.11,763771
2019-05-21,124.05,125.18,124,124.69,1033491
2019-05-22,123.91,125.35,123.77,124.96,929494
2019-05-23,123.46,124.44,122.7,124.42,1545718
2019-05-24,124.84,125.97,123.59,123.68,718040
2019-05-28,124.11,124.92,122.88,123.09,1179631
2019-05-29,122.27,122.8,120.97,121.81,1015948
2019-05-30,122.46,123.1,121.83,122.95,854050
2019-05-31,121.58,122.2,121,121.76,1041513
2019-06-03,121.2,121.95,120.0902,120.7,1183768
2019-06-04,121.89,121.89,117.17,121.51,2833824
2019-06-05,122.45,122.45,116.39,118.47,2251150
2019-06-06,118.48,118.85,116.79,118.64,2023861
2019-06-07,118.86,123,118.86,120.97,1154602
2019-06-10,122.02,124.33,121.79,123.44,965205
2019-06-11,124.48,125.58,122.44,122.86,981707
2019-06-12,123.3,124.6815,122.29,124.27,1008449
2019-06-13,124.15,124.15,122.13,122.47,1010026
2019-06-14,122.55,124.25,122.2833,124.13,801279
2019-06-17,124.1,124.38,122.02,122.21,908733
2019-06-18,123.15,124.45,121.94,122.63,873134
2019-06-19,123.25,123.62,121.72,122.65,781430
2019-06-20,119.21,121.42,118.09,118.74,3430064
2019-06-21,118.36,118.74,114.76,114.84,2823185
2019-06-24,114.59,117.52,114.39,117.1,2455070
2019-06-25,116.65,117.41,114.45,116.04,1618125
2019-06-26,116.69,117.19,115.53,116.55,1179827
2019-06-27,117.18,119.52,116.58,119.2,1099413
2019-06-28,119.6,121.34,119.32,121.21,2067164
2019-07-01,122,122.9,117.74,118.07,2203327
2019-07-02,118.25,119.09,117.29,119.04,1105618
2019-07-03,118.57,118.69,115.81,116.54,1634593
2019-07-05,116.55,116.72,115.1,115.4,2210118
2019-07-08,115,115.315,111.53,111.89,2900271
2019-07-09,111.13,112.29,109.94,111.22,3188718
2019-07-10,111.87,112.27,110.13,110.38,2098697
2019-07-11,110.36,110.77,109.56,110.4,2225864
2019-07-12,110.22,110.91,109.24,110.14,3208087
2019-07-15,110.45,113.29,110.45,112.85,3594272
2019-07-16,112.57,115.0625,112.5204,114.55,2473129
2019-07-17,114.36,114.82,111.08,111.76,1923410
2019-07-18,111.36,111.91,110.24,111,1955624
2019-07-19,111.54,112.83,110.09,110.15,1931625
2019-07-22,110.58,111.91,110.1,111.63,3049159
2019-07-23,112.46,114.06,112.37,113.73,2054786
2019-07-24,113.51,115.6,113.19,115.34,3141588
2019-07-25,112.44,115.95,111.645,113.04,3491501
2019-07-26,114.53,115.34,113.355,113.96,2322965
2019-07-29,113.75,115.995,113.75,115.59,1995730
2019-07-30,114.74,115.99,114.7,115.99,1581338
2019-07-31,115.94,117.02,114.81,116.34,2462278
2019-08-01,116.02,117.97,113.8637,114.05,2533295
2019-08-02,113.5,113.5,109.82,110.73,2006638
2019-08-05,108.77,109.5,106.75,107.69,1894249
2019-08-06,108.29,109.12,106.48,107.06,2026647
2019-08-07,106.68,108.3,105.76,107.37,1355797
2019-08-08,107.86,110.46,107.48,109.74,2011781
2019-08-09,109.75,110.11,108.34,109.25,904875
2019-08-12,108.65,108.95,106.69,107.3,834264
2019-08-13,105.26,109.24,104.3,109.03,2335901
2019-08-14,106.94,107.43,102.87,104.19,1910841
2019-08-15,104.79,105.315,103.55,103.87,1222928
2019-08-16,104.57,105.78,103.91,105.18,1003183
2019-08-19,106.54,108.42,106.54,107.76,1350248
2019-08-20,107.61,108.43,107,107.63,949020
2019-08-21,108.65,108.69,107.12,107.67,778544
2019-08-22,107.84,108.11,106.14,107.03,944669
2019-08-23,106.69,107.04,102.14,102.53,2184090
2019-08-26,103.27,103.7,102.09,102.49,1665617
2019-08-27,103.49,103.56,101.625,101.77,1174623
2019-08-28,101.27,103.37,100.6905,103.18,1369427
2019-08-29,103.81,104.94,103.18,103.38,1191078
2019-08-30,104.22,105.5,103.95,104.28,1208961
2019-09-03,103,103,100.64,102.85,1831347
2019-09-04,103.78,105.69,103.61,104.74,1234935
2019-09-05,105.4,107.42,105.38,106.94,1304199
2019-09-06,107.53,108.88,106.96,108.41,1728657
2019-09-09,109.07,110.7,108.49,110.61,1404395
2019-09-10,110.86,113.9199,110.55,113.75,1743963
2019-09-11,113.93,115.15,112.36,113.83,1386490
2019-09-12,114.09,114.75,111.85,113.27,1012780
2019-09-13,114,115.63,113.46,114.83,1085124
2019-09-16,112.09,114.19,111.55,113.93,1206705
2019-09-17,113.67,114.79,113.09,114.09,725667
2019-09-18,113.26,114.18,110.975,112.99,1798623
2019-09-19,112.78,114.17,112.33,112.46,1243720
2019-09-20,112.76,113.28,110.86,111.68,1444921
2019-09-23,110.96,110.96,108.76,109.55,1662318
2019-09-24,110.34,111.63,108.02,108.64,1470749
2019-09-25,108.68,109.8,107.62,109.66,1123186
2019-09-26,106.28,107.9462,105.15,106.93,2562572
2019-09-27,107.31,108.11,105.83,107.03,1768489
2019-09-30,108,109.27,107.62,108.33,1303698
2019-10-01,108.21,109.34,104.185,104.65,1601090
2019-10-02,103.7,104,102.18,103.01,1636439
2019-10-03,103.09,104.48,101.68,104.18,1265220
2019-10-04,104.54,105.29,102.76,103.31,1658316
2019-10-07,102.81,103.75,101.69,102.6,1760522
2019-10-08,101.29,102.8,100.47,101.03,1330307
2019-10-09,101.81,102.36,101.28,101.88,945384
2019-10-10,102.31,103.8,101.82,103.61,1216952
2019-10-11,105,108.475,105,107.57,1970653
2019-10-14,107,108.59,106.89,107.96,1185314
2019-10-15,108.16,110.56,107.92,109.48,1440573
2019-10-16,109.55,109.86,107.14,108.32,1038153
2019-10-17,109.01,109.64,108.24,109.15,564556
2019-10-18,109.49,111.65,109.22,111.18,1744417
2019-10-21,112,112.95,100,112.07,2163415
2019-10-22,111.75,112.03,108.26,108.41,1463490
2019-10-23,108.27,109.91,107.58,109.68,1077711
2019-10-24,110.19,110.62,108.54,109.12,872610
2019-10-25,108.89,111.52,108.89,111.37,944205
2019-10-28,111.51,112.99,111.44,112.2,961359
2019-10-29,112.9,113.9,112.25,113.27,1569285
2019-10-30,115.47,115.75,108.51,109.42,3557276
2019-10-31,109.07,109.56,107.16,108.83,2222307
2019-11-01,109.87,111.7,109.34,111.18,1311791
2019-11-04,112.21,113.47,111.08,113.28,1508204
2019-11-05,113.67,114.53,112.47,113.51,1448343
2019-11-06,113.63,113.68,111.36,112.78,1336752
2019-11-07,114.61,115.82,112.875,114.99,2592477
2019-11-08,114.55,114.9,112.92,114.53,988048
2019-11-11,113.47,114.2151,112.84,113.94,908873
2019-11-12,114.02,114.93,113.25,113.85,1168395
2019-11-13,113.51,115.06,112.83,114.79,1296062
2019-11-14,114.61,115.665,114.32,115.24,1565130
2019-11-15,116,118.22,115.995,117.89,2445459
2019-11-18,118,118.55,117.02,118.4,1651130
2019-11-19,119.5,120.1,118.775,118.86,1614009
2019-11-20,118.13,119.06,116.37,117,2435032
2019-11-21,116.71,118.85,115.52,118.69,2252219
2019-11-22,119.43,120.05,118.35,119.13,1642448
2019-11-25,119.8,120.125,119.21,119.42,1375019
