Date,Open,High,Low,Close,Volume
2019-02-27,50.97,51.03,49.95,50.43,9041002
2019-02-28,50.09,50.17,49.54,49.58,9477279
2019-03-01,49.37,49.73,48.215,48.96,11386420
2019-03-04,49.04,49.57,48.4339,48.79,10184430
2019-03-05,50.03,50.49,49.41,49.72,9738755
2019-03-06,49.81,50.2799,49.44,49.71,8702463
2019-03-07,49.51,49.8,48.76,49.59,8183569
2019-03-08,49.25,49.6,48.92,49.59,8566278
2019-03-11,49.8,51.285,49.77,51.12,8844583
2019-03-12,51.19,51.32,50.02,50.67,8064025
2019-03-13,50.98,51.09,50.08,51.02,10483230
2019-03-14,51.38,52.08,50.84,50.94,8047629
2019-03-15,51.29,51.47,50.98,51.19,8173422
2019-03-18,51.07,51.25,50.53,50.74,6411372
2019-03-19,50.99,51.39,50.82,50.96,5523001
2019-03-20,50.89,50.89,49.77,49.87,7740876
2019-03-21,49.71,50.61,49.7,50.3,5127375
2019-03-22,50.04,50.24,49.5165,49.76,5863395
2019-03-25,49.6,50.04,48.97,49.03,6443192
2019-03-26,49.36,49.625,48.68,49.09,5321474
2019-03-27,49.05,50.53,48.98,49.97,7900179
2019-03-28,50.11,50.65,49.895,50.32,6597415
2019-03-29,50.73,51.75,50.38,51.65,9160791
2019-04-01,51.82,52.33,51.5243,52.18,8425997
2019-04-02,54.53,55.935,53.92,55.33,15901650
2019-04-03,55.96,57.57,55.81,57,13275910
2019-04-04,57.46,57.67,56.37,57.22,8996064
2019-04-05,57.44,58.2,57.33,57.73,6915620
2019-04-08,57.5,57.9,56.91,57.71,7902060
2019-04-09,57.2,57.44,56.78,56.95,9574026
2019-04-10,58.97,58.97,56.77,57.86,14393920
2019-04-11,57.95,58.84,57.82,58.39,8451822
2019-04-12,58.83,58.84,57.55,58.05,7686029
2019-04-15,58,58.11,57.37,57.45,5324030
2019-04-16,57.66,58.12,57.65,58.11,3962811
2019-04-17,58.85,58.99,58.09,58.43,4983580
2019-04-18,58.5,58.58,58.02,58.17,4107807
2019-04-22,57.79,57.97,57.28,57.75,4043379
2019-04-23,57.66,58.41,57.66,58.24,4590977
2019-04-24,58.24,58.53,57.8,57.85,3273398
2019-04-25,57.84,58.48,56.38,56.71,5556352
2019-04-26,56.56,57.47,56.48,57.11,3711792
2019-04-29,57.24,57.9,57.0501,57.73,3215041
2019-04-30,57.82,58.57,57.755,58.29,4030268
2019-05-01,58.2,58.51,57.105,57.18,5629966
2019-05-02,57.32,58.08,57.25,57.66,3426141
2019-05-03,57.73,58.135,57.52,57.8,4673027
2019-05-06,56.98,57.965,56.74,57.73,4105758
2019-05-07,57.25,57.5,56.33,57.17,4784825
2019-05-08,56.77,57.08,56.18,56.45,3641444
2019-05-09,56.14,56.73,55.69,56.59,5003568
2019-05-10,56.25,56.865,55.06,56.62,3737816
2019-05-13,55.44,55.52,54.07,54.8,5223811
2019-05-14,54.9,55.63,54.745,55.25,2463425
2019-05-15,54.58,55.365,54.09,55.05,2999135
2019-05-16,55.14,55.96,55.14,55.38,2731370
2019-05-17,54.76,55.54,54.49,54.89,3969850
2019-05-20,54,54.67,53.75,54.28,3722756
2019-05-21,54.68,55.03,54.59,54.83,2816770
2019-05-22,54.49,54.84,53.89,54.06,3616690
2019-05-23,53.65,54.75,53.24,54,5279103
2019-05-24,54.42,54.62,53.71,54.12,2503194
2019-05-28,54.14,54.63,53.87,53.88,3454118
2019-05-29,53.75,53.75,52.81,53.21,3929675
2019-05-30,53.38,53.8,52.87,53.03,3775210
2019-05-31,52.47,52.8,51.3094,51.5,5615106
2019-06-03,51.48,52.7,51.41,52.1,7244631
2019-06-04,52.85,54.365,52.82,54.31,7619264
2019-06-05,54.85,55.23,54.2378,54.94,6379259
2019-06-06,55.06,55.2214,54.36,54.69,6192026
2019-06-07,54.92,55.845,54.92,55.07,4234804
2019-06-10,55.5,55.895,54.65,54.73,3312865
2019-06-11,55.02,55.31,54.48,54.88,2833733
2019-06-12,55.05,55.48,54.9,55.45,3856327
2019-06-13,55.69,57.24,55.67,56.52,6300572
2019-06-14,56.57,56.63,55.78,55.99,4382468
2019-06-17,55.78,55.935,55.26,55.67,4057425
2019-06-18,55.95,56.52,55.46,56.03,3642521
2019-06-19,56.28,56.56,55.95,56.36,3196821
2019-06-20,56.85,56.88,55.3274,55.97,5055778
2019-06-21,56,56.86,55.555,55.99,8573677
2019-06-24,56.1,56.23,55.67,56.07,2896010
2019-06-25,56.05,56.7221,55.86,55.92,3579823
2019-06-26,56.07,56.81,55.84,56.38,4437735
2019-06-27,56.75,57.42,56.5001,56.82,4375403
2019-06-28,56.89,57.42,56.7,56.75,8034898
2019-07-01,57.3,57.9,57.25,57.79,5020562
2019-07-02,58.6,59.22,58.09,58.54,6838308
2019-07-03,59,59.62,58.89,59.15,3303860
2019-07-05,59.15,59.39,57.85,58.7,5896922
2019-07-08,58.9,59.67,58.84,59.37,7800583
2019-07-09,59.57,59.99,58.561,58.96,7870188
2019-07-10,59.34,59.67,58.76,59.47,7781257
2019-07-11,60.25,60.79,59.47,60.16,12695630
2019-07-12,60.23,62.24,60.02,61.65,10045660
2019-07-15,61.57,62.41,61.31,61.7,5889350
2019-07-16,61.88,63.255,61.72,63.16,10319700
2019-07-17,63.23,63.272,62.19,62.25,7532027
2019-07-18,61.77,62.66,61.64,62.66,4482528
2019-07-19,62.86,63.09,60.86,60.91,7903124
2019-07-22,61.45,61.6268,61.06,61.29,4787115
2019-07-23,61.45,63.11,61.27,63.09,7452209
2019-07-24,62.39,63.4369,62.38,63.16,5718757
2019-07-25,62.77,63.13,61.84,62.23,5351901
2019-07-26,62.25,62.66,61.914,62.16,3857912
2019-07-29,61.98,62.72,61.85,62.46,4972236
2019-07-30,62.31,62.68,62.09,62.63,2914263
